"id","time","device_name","device_ip","device_mac","device_phy","channel","channel_alias","cc_in_count","cc_out_count","cc_total_count","alarm_snapshot","alarm_subtype","alarm_status","record_flag","subscribe_id","data_pos","alarm_time","created_at","updated_at","camera_id"
"1","2025-07-31 22:39:09+05:30","GV-DNC575-AI","172.17.41.206","8C-1F-64-D5-DB-F7","eth0","CH1","",189,246,435,False,"cc",True,"G",1,336816,"2025-07-31 22:39:09+05:30","2025-07-31 17:09:10.307136+05:30","2025-07-31 17:09:10.307141+05:30","f07cc743-5b61-4543-af16-a8ad49bd7e66"
"2","2025-07-31 22:39:09+05:30","GV-DNC575-AI","172.17.41.216","8C-1F-64-D5-DB-EC","eth0","CH1","",277,279,556,False,"cc",True,"G",1,255761,"2025-07-31 22:39:09+05:30","2025-07-31 17:09:10.474915+05:30","2025-07-31 17:09:10.474931+05:30","64db51f4-6429-4452-a047-54932a4cb725"
"3","2025-07-31 22:39:10+05:30","GV-DNC575-AI","172.17.41.207","8C-1F-64-D5-DB-F4","eth0","CH1","",259,199,458,False,"cc",True,"G",1,324938,"2025-07-31 22:39:10+05:30","2025-07-31 17:09:11.131702+05:30","2025-07-31 17:09:11.131725+05:30","acf05e8d-1c7a-4f78-bbf4-d6ff2d388e35"
"4","2025-07-31 22:39:28+05:30","GV-DNC575-AI","172.17.41.217","8C-1F-64-CC-61-60","eth0","CH1","",178,156,334,False,"cc",True,"G",1,221030,"2025-07-31 22:39:28+05:30","2025-07-31 17:09:29.223702+05:30","2025-07-31 17:09:29.223717+05:30","98b16d80-b828-44ab-97bf-60b07324120d"
"5","2025-07-31 22:39:29+05:30","GV-DNC575-AI","172.17.41.206","8C-1F-64-D5-DB-F7","eth0","CH1","",190,246,436,False,"cc",True,"G",1,336837,"2025-07-31 22:39:29+05:30","2025-07-31 17:09:31.022177+05:30","2025-07-31 17:09:31.022182+05:30","f07cc743-5b61-4543-af16-a8ad49bd7e66"
"6","2025-07-31 22:39:37+05:30","GV-DNC575-AI","172.17.41.227","8C-1F-64-CC-61-6A","eth0","CH1","",79,108,187,False,"cc",True,"G",1,1335756,"2025-07-31 22:39:37+05:30","2025-07-31 17:09:38.502197+05:30","2025-07-31 17:09:38.502219+05:30","c019c65c-5948-4cca-85a0-f86b591c4310"
"7","2025-07-31 22:39:42+05:30","GV-DNC575-AI","172.17.41.217","8C-1F-64-CC-61-60","eth0","CH1","",179,156,335,False,"cc",True,"G",1,221049,"2025-07-31 22:39:42+05:30","2025-07-31 17:09:43.24602+05:30","2025-07-31 17:09:43.246036+05:30","98b16d80-b828-44ab-97bf-60b07324120d"
"8","2025-07-31 22:40:08+05:30","GV-DNC575-AI","172.17.41.227","8C-1F-64-CC-61-6A","eth0","CH1","",79,109,188,False,"cc",True,"G",1,1335781,"2025-07-31 22:40:08+05:30","2025-07-31 17:10:09.624182+05:30","2025-07-31 17:10:09.624197+05:30","c019c65c-5948-4cca-85a0-f86b591c4310"
"9","2025-07-31 22:40:09+05:30","GV-DNC575-AI","172.17.41.227","8C-1F-64-CC-61-6A","eth0","CH1","",79,110,189,False,"cc",True,"G",1,1335785,"2025-07-31 22:40:09+05:30","2025-07-31 17:10:10.656689+05:30","2025-07-31 17:10:10.656701+05:30","c019c65c-5948-4cca-85a0-f86b591c4310"
